"ABronte_Agnes" "ABronte_Tenant" "Austen_Emma" "Austen_Pride" "Austen_Sense" "CBronte_Jane" "CBronte_Professor" "CBronte_Villette" "EBronte_Wuthering" "Eliot_Adam" "Eliot_Middlemarch" "Eliot_Mill"
"he" 0.964747906540962 1.35027704887656 1.12872163393519 1.09915386511131 0.929765886287625 1.01648175463349 0.689196950416108 1.14118567956165 1.67479911843651 1.24833640161931 1.55151020151727 1.10106306219635
"that" 1.13603091877965 1.14107077747028 1.12186578745629 1.29549001889427 1.15635451505017 0.884478077769939 0.899784907487697 0.999052445103613 1.03249264649133 1.18666153482311 1.6102533494589 1.41805762662947
"you" 1.09650406980149 1.67484563565831 1.2458942828473 1.11394068840877 0.995819397993311 1.5851129780457 0.991002150925123 0.878548181106579 1.48956787953109 0.905646728217875 1.08470636279391 1.16792534513445
"she" 0.909117526497628 0.808133939832276 1.4733837341926 1.40474821325885 1.34866220735786 0.779195792984031 0.985371456885776 0.994932641206279 1.10023925701692 0.972886244649821 0.823032340144816 0.946654480735004
"as" 0.979387480236576 0.882252733130503 0.895622853652608 0.970179906350119 1.02090301003344 0.850809123752111 0.912172434374261 0.79615210315989 0.802668701923489 1.23859826475676 0.859786074418459 0.968781567174948
"his" 0.630965626280963 1.03646764176714 0.71674758643041 1.04329253265423 0.853678929765886 0.649864255328246 0.575456930821293 0.842499897004903 1.22115409352462 0.892198824931485 1.19056968288124 0.948097551589783
"not" 0.894477952802014 0.974901224753286 1.34062961601027 1.17144500123224 1.04347826086957 0.834776288505526 0.795053998355837 0.987722984385943 0.803526253955459 0.581505886935594 0.920728163726891 0.671027947472221
"had" 0.740762428998068 0.603709526058135 1.01341876133552 0.96689394561735 0.834448160535117 0.796831911755275 0.926812238876564 0.794092201211222 0.590853350027013 0.906574169823832 1.17517709331365 1.0014911732166
"with" 0.885694208584646 0.916323468759526 0.759129182845426 0.864207672718311 0.82943143812709 0.749802261698625 0.805189247626662 0.832200387261566 0.691186937767449 0.84211697820976 0.959680839367333 1.0063014093992
"for" 0.947180418106225 0.990442262057753 0.839529564279793 0.869136613817465 1.05351170568562 0.697962761068001 0.654286647372155 0.67822271659869 0.722058810918352 1.10968388152861 0.801671195438767 0.856222040502189
"but" 1.06722492241026 1.15123222493858 0.898115888735844 0.823133163558695 0.740802675585284 0.664293807050172 0.585592180092118 0.682857495983191 0.589138245963074 0.795744897911865 0.748582468154617 0.771080860070229
"be" 0.745154301106752 0.679621515968416 1.23093607234788 1.01782633697527 1.08695652173913 0.549391821116313 0.489870381423214 0.512400609730977 0.618295015050038 0.728969102282897 0.770257747341637 0.683053537928712
"my" 1.26925103940973 1.42080944895068 0.456225420232226 0.585722500616118 0.525083612040134 1.19391179802903 1.24776179911936 0.983088205001442 0.948452547358311 0.313475262813765 0.313820346490333 0.372312280532974
"at" 0.60754230836798 0.587570756549651 0.643203051474942 0.647334264355541 0.701505016722408 0.626349430299921 0.64415139810133 0.570592839780826 0.672320793064119 0.676104930743298 0.618530793032497 0.682091490692193
"me" 0.928148972301927 1.15302542155064 0.363359863381677 0.367206111886963 0.37123745819398 1.09771478654952 0.858117771596527 0.891937543772916 0.91243536201559 0.404828261000617 0.347118601473291 0.417047477031122
"on" 0.396732447151139 0.42976945468891 0.430671810629055 0.588186971165695 0.581939799331104 0.607110028004019 0.654286647372155 0.580892349524163 0.699762458087144 0.746590492796097 0.63360924811912 0.65804030977921
"have" 0.524096738302981 0.608491383690279 0.823324836238758 0.691694734247926 0.684782608695652 0.579854208084824 0.530411378506515 0.473777448193466 0.542830436236719 0.442389646041911 0.641462610143402 0.538265428832556
"is" 0.373309129238157 0.635987065075105 0.774710652115652 0.706481557545387 0.635451505016722 0.731631715085829 0.52027612923569 0.451633502245293 0.560839028908079 0.449809178889574 0.683870765074528 0.427148973014575
"him" 0.477250102477016 0.758522166898786 0.480532512293779 0.627618499958925 0.536789297658863 0.38478804591804 0.298426784085406 0.406830634861781 0.794093181603794 0.535597527440679 0.633923382600091 0.513733224301313
"said" 0.27229607073842 0.411239756364354 0.301657245071581 0.329417563460117 0.331939799331104 0.311571431625302 0.254507370578497 0.304865488402752 0.321582011988577 0.562957054816436 0.719682095905257 0.792726922891914
"would" 0.551911928324647 0.424987597056767 0.511072192063423 0.386921876283578 0.430602006688963 0.355928942474187 0.316445005011318 0.38262678696494 0.379037998130537 0.338516186174628 0.484709504138722 0.398768579537255
"by" 0.383556830825086 0.366409841063007 0.354634240590351 0.52246775651031 0.624581939799331 0.340430535069155 0.45608621718713 0.34400362542743 0.385898414386293 0.396017565744017 0.399264925314527 0.421376689595459
"no" 0.442115125607542 0.455471939461682 0.462458007940317 0.40170869958104 0.474916387959866 0.407234015263259 0.39527472156218 0.349668355786265 0.337017948564029 0.438216158815101 0.347432735954262 0.407427004665929
"so" 0.62803771154184 0.50867010561928 0.605807525226399 0.483857717900271 0.538461538461538 0.337223968019838 0.364868973749704 0.358937914555267 0.307861179477065 0.350109206249102 0.254763064067727 0.347780076001732
"all" 0.452362827194472 0.398089647875959 0.527276920104458 0.512609874312002 0.548494983277592 0.339361679386049 0.278156285543756 0.365632595888436 0.243544777079349 0.389061753699333 0.327956398134041 0.373274327769493
"which" 0.275223985477543 0.156008105248686 0.346531876569833 0.442783208740656 0.495819397993311 0.318518993565489 0.354733724478879 0.34554855188893 0.158647125914365 0.329241770115049 0.626070020575809 0.397325508682476
"from" 0.36598934239035 0.385537271591582 0.340299288861742 0.404994660313809 0.452341137123746 0.385856901601146 0.411040664872352 0.325464507889424 0.416770287537196 0.34639943982527 0.364710132407684 0.367502044350378
"if" 0.465538443520525 0.518831553087586 0.30228050384239 0.286700073934117 0.244983277591973 0.287522178755424 0.237615288460456 0.201355415482223 0.383325758290384 0.475777543856395 0.411202035591437 0.456491413728414
"this" 0.264976283890613 0.337718695270145 0.327834113445561 0.368027602070155 0.364548494983278 0.358066653840398 0.287165396006712 0.51343056070531 0.253835401462984 0.36402083033847 0.38544300815179 0.381932752898167
"mr" 0.228377349651578 0.216976790058518 0.719240621513646 0.645691283989156 0.148829431438127 0.290728745804741 0.115992297210554 0.0236888724096733 0.267556233974496 0.238816213534155 0.622614541285124 0.447351964981481
"what" 0.310358962347016 0.331143641025948 0.334689959924461 0.392672307565925 0.37123745819398 0.385856901601146 0.334463225937229 0.323404605940757 0.26069581771874 0.326459445297175 0.35654263590243 0.33671653278176
"were" 0.374773086607718 0.213988129038428 0.37457852125624 0.464141953503656 0.368729096989967 0.332414117445862 0.363742834941835 0.373357228195938 0.301000763221308 0.252727837623524 0.329841205019869 0.326615036798307
"an" 0.294255431281841 0.208608539202267 0.288568810884591 0.289986034666886 0.287625418060201 0.315312426516172 0.349103030439532 0.316709924607589 0.272701546166314 0.439607321224037 0.36376772896477 0.391072201645101
"could" 0.367453299759911 0.267784027400044 0.521667591167177 0.432103836359156 0.483277591973244 0.269886059984181 0.216218651110936 0.276026861121411 0.240972120983441 0.256437604047355 0.26512950193978 0.233777478474193
"been" 0.206417989108157 0.191872037489764 0.47367666581488 0.423888934527232 0.368729096989967 0.210030141730264 0.20833567945585 0.183846248918551 0.191234103129207 0.324140841282281 0.37821791508945 0.353071335802588
"or" 0.541664226737717 0.465633386929988 0.307889832779672 0.245625564774501 0.297658862876254 0.340430535069155 0.362616696133965 0.424339801425452 0.266698681942527 0.198472503674987 0.224606153894482 0.19625763624994
"when" 0.305967090238332 0.261208973155847 0.226866192574495 0.306415838330732 0.255852842809365 0.306227153209774 0.292796090046059 0.246673258352902 0.264983577878588 0.384888266472522 0.299684294846624 0.370388186059936
"they" 0.390876617672893 0.183503786633512 0.337182995007697 0.493715600098579 0.433946488294314 0.270954915667287 0.243245982499803 0.231223993737898 0.249547641303136 0.30698317157206 0.232145381437794 0.303044879503584
"there" 0.238625051238508 0.226540505322805 0.343415582715788 0.289164544483693 0.199832775919732 0.270954915667287 0.229732316805369 0.268302228813908 0.247832537239197 0.350109206249102 0.340835911853865 0.307374092067921
"will" 0.275223985477543 0.353259732574612 0.34840165288226 0.334346504559271 0.297658862876254 0.32813869471344 0.253381231770628 0.218864582045895 0.206670039704659 0.154419027391988 0.396123580504814 0.171725431718697
"your" 0.196170287521227 0.364616644450953 0.228735968886922 0.373778033352501 0.32190635451505 0.362876504414374 0.265768758657192 0.206505170353891 0.349881229043572 0.23696133032224 0.212669043617573 0.245322045312425
"one" 0.297183346020964 0.253438454503613 0.27610363546841 0.219337878912347 0.268394648829431 0.309968148100643 0.279282424351626 0.275511885634244 0.246117433175258 0.264784578500976 0.256647870953555 0.249170234258502
"very" 0.22984130702114 0.185296983245566 0.755389630220571 0.400065719214655 0.418060200668896 0.201479296265418 0.213966373495197 0.200325464507889 0.11233931618801 0.163229722648588 0.196334050607065 0.225119053345519
"more" 0.264976283890613 0.280934135888439 0.292308363509446 0.267805799720693 0.340301003344482 0.193462878642126 0.188065180914199 0.195175709636221 0.18694634296936 0.262002253683102 0.296857084517882 0.258790706623695
"do" 0.289863559173157 0.298866102008978 0.397015837005366 0.28423560338454 0.27257525083612 0.24904337416362 0.195948152569286 0.197750587072055 0.219533320184202 0.213311569370314 0.241255281385961 0.219346769926403
"them" 0.450898869824911 0.252840722299595 0.271740824072747 0.355705249322271 0.391304347826087 0.213236708779581 0.176803792835505 0.184876199892885 0.198952071416933 0.228614355868619 0.189108957544725 0.183751022175189
"now" 0.21959360543421 0.280336403684421 0.195079995263233 0.171691448287193 0.198160535117057 0.35646337031574 0.252255092962759 0.255427841634738 0.200667175480872 0.259683649668208 0.198218857492893 0.215979604598586
"are" 0.142003864847456 0.229529166342895 0.283582740718119 0.278485172102193 0.195652173913043 0.326000983347228 0.261264203425714 0.204960243892391 0.257265609590862 0.189661808418387 0.244710760676646 0.183751022175189
"than" 0.18885050067342 0.206217610386195 0.258652389885757 0.231660231660232 0.301839464882943 0.152311934842558 0.172299237604027 0.19208585671322 0.170652854361938 0.235570167913303 0.258218543358412 0.206359132233393
"their" 0.316214791825262 0.122535101823681 0.189470666325952 0.363098660971001 0.414715719063545 0.185446461018833 0.197074291377155 0.169426935277881 0.125202596667553 0.21052924455244 0.164606468028963 0.191928423685603
"mrs" 0.0570943374128945 0.133892013700022 0.436904398337146 0.281771132834963 0.44314381270903 0.134141388229761 0.0304057478124754 0.0798212005108557 0.114054420251949 0.140971124105599 0.219894136679913 0.281879840300159
"little" 0.276687942847104 0.215183593446464 0.224996416262068 0.155261644623347 0.133779264214047 0.182774321811069 0.218470928726675 0.264182424916574 0.152644261690578 0.203573432507756 0.196334050607065 0.193371494540382
"who" 0.133220120630087 0.103407671295106 0.18386133738867 0.233303212026616 0.224916387959866 0.152311934842558 0.115992297210554 0.126683969843035 0.13120546089134 0.225368310247766 0.326071591248213 0.248208187021983
"should" 0.248872752825438 0.225942773118787 0.231229003970158 0.202908075248501 0.197324414715719 0.153915218367216 0.155407155485985 0.136468504099205 0.211815351896476 0.173895301117103 0.240312877943047 0.1967386598682
"out" 0.152251566434385 0.130305620475914 0.129014565557474 0.11007968454777 0.134615384615385 0.214839992304239 0.198200430185025 0.190025954764553 0.265841129910557 0.267103182515871 0.213611447060487 0.263119919188032
"any" 0.137611992738771 0.144053461168327 0.408234494879929 0.220980859278732 0.326086956521739 0.111160991042989 0.115992297210554 0.0947554896386932 0.120057284475736 0.184560879585619 0.247537971005387 0.194333541776901
"some" 0.238625051238508 0.185894715449584 0.165163574264399 0.173334428653578 0.179765886287625 0.198807157057654 0.2286061779975 0.229679067276398 0.133778116987248 0.173431580314124 0.22649096078031 0.192409447303863
"must" 0.18885050067342 0.187687912061638 0.355880758131969 0.253018976423232 0.236622073578595 0.165672630881378 0.0945956598610345 0.146768013842541 0.160362229978304 0.184560879585619 0.177800116229758 0.178459762374333
"we" 0.254728582303683 0.19605616291789 0.222503381178832 0.207837016347655 0.179765886287625 0.16406934735672 0.132884379328596 0.174576690149549 0.271843994134344 0.204964594916693 0.171831561091303 0.175092597046515
"then" 0.263512326521052 0.286313725724601 0.106577249808348 0.143760782058654 0.12876254180602 0.263472925885547 0.236489149652586 0.179726445021217 0.246974985207227 0.170649255496251 0.124711388945608 0.203472990523835
"up" 0.143467822217017 0.16676728492101 0.115926131370484 0.0911854103343465 0.092809364548495 0.206289146839394 0.149776461446638 0.15500762163721 0.244402329111319 0.286115735438008 0.208585295364946 0.23762566742027
"know" 0.175674884347368 0.218172254466554 0.210038205762651 0.194693173416578 0.193979933110368 0.121849547874046 0.127253685289249 0.162217278457545 0.105478899932253 0.215630173385208 0.220522405641855 0.1967386598682
"like" 0.196170287521227 0.141662532352256 0.122781977849383 0.0632547441058079 0.0668896321070234 0.195066162166784 0.176803792835505 0.197235611584889 0.132063012923309 0.299099917921418 0.210470102250774 0.261195824714994
"did" 0.200562159629912 0.211597200222356 0.220010346095595 0.223445329828309 0.206521739130435 0.210564569571816 0.206083401840111 0.242553454455568 0.206670039704659 0.0899618357779148 0.167119543876734 0.12554716436577
"well" 0.238625051238508 0.224149576506733 0.239331367990676 0.175798899203155 0.184782608695652 0.172620192821565 0.162163988333202 0.173546739175215 0.113196868219979 0.18409715878264 0.150156281904283 0.181345904083891
"about" 0.20934590384728 0.155410373044669 0.155191433931454 0.100221802349462 0.120401337792642 0.116505269458518 0.112613880786946 0.133893626663371 0.135493221051187 0.251800396017566 0.264501232977838 0.207321179469912
"never" 0.187386543303859 0.175733267981279 0.223126639949641 0.180727840302308 0.158026755852843 0.157121785416533 0.128379824097118 0.144708111893874 0.155216917786487 0.172040417905188 0.170889157648389 0.18230795132041
"such" 0.232769221760262 0.208608539202267 0.304773538925627 0.319559681261809 0.300167224080268 0.137347955279078 0.134010518136466 0.156037572611544 0.0883278592928626 0.106192063882178 0.119685237250067 0.102939054307567
"much" 0.162499268021315 0.148835318800471 0.302903762613199 0.269448780087078 0.24247491638796 0.110092135359884 0.12500140767351 0.127713920817369 0.0831825471010454 0.140043682499641 0.16869021628159 0.149598345278753
"only" 0.200562159629912 0.174537803573243 0.212531240845887 0.177441879569539 0.239966555183946 0.155518501891875 0.137388934560074 0.123594116920035 0.126917700731492 0.148390656953262 0.16146512321925 0.172206455336957
"into" 0.133220120630087 0.153019444228597 0.101591179641876 0.115830115830116 0.0961538461538462 0.141088950169948 0.158785571909594 0.154492646150043 0.234111704727684 0.19290785403924 0.198847126454835 0.193852518158642
"think" 0.174210926977806 0.192469769693782 0.239331367990676 0.173334428653578 0.175585284280936 0.117574125141623 0.0777035777429926 0.125139043381535 0.096903379612558 0.184560879585619 0.172459830053246 0.164510077444803
"see" 0.22984130702114 0.18709017985762 0.13836344711961 0.121580547112462 0.144648829431438 0.147502084268582 0.108109325555468 0.110204754253698 0.1492140535627 0.231396680686492 0.157067240485652 0.18230795132041
"before" 0.142003864847456 0.16676728492101 0.155814692702263 0.186478271584655 0.167224080267559 0.15284636268411 0.134010518136466 0.10814485230503 0.132063012923309 0.17111297629923 0.151098685347197 0.150079368897013
"own" 0.15664343854307 0.169158213737082 0.188847407555143 0.150332703524193 0.22742474916388 0.109557707518331 0.111487741979076 0.136983479586372 0.100333587740436 0.150709260968156 0.163035795624107 0.142382991004858
"how" 0.180066756456052 0.16676728492101 0.231229003970158 0.189764232317424 0.197324414715719 0.147502084268582 0.118244574826293 0.168911959790714 0.196379415321025 0.108974388700051 0.111517740744813 0.0957237000336717
"might" 0.197634244890789 0.112373654355376 0.203182359283751 0.164298036638462 0.179765886287625 0.086577310331559 0.114866158402685 0.128743871791703 0.11233931618801 0.142362286514535 0.20481568159329 0.13997787291356
"too" 0.222521520173333 0.209206271406285 0.158307727785499 0.1174730961965 0.157190635451505 0.134141388229761 0.126127546481379 0.146768013842541 0.116627076347857 0.150245540165177 0.134763692336689 0.138053778440521
"can" 0.121508461673596 0.188883376469674 0.176382232138962 0.173334428653578 0.174749163879599 0.122918403557152 0.100226353900382 0.0731265191776871 0.114911972283918 0.162766001845609 0.140103978513201 0.15440858146135
"am" 0.0790536979563155 0.157203569656722 0.264884977593847 0.266162819354309 0.228260869565217 0.20361700763163 0.109235464363337 0.124109092407201 0.0831825471010454 0.0315330146025681 0.145758399170685 0.0505074799172639
"time" 0.207881946477719 0.173940071369225 0.173265938284917 0.164298036638462 0.199832775919732 0.121849547874046 0.147524183830899 0.120504263997034 0.103763795868314 0.128914383228146 0.121570044135895 0.115445668382318
"good" 0.139075950108333 0.130305620475914 0.195703254034042 0.151154193707385 0.123745819397993 0.104747856944355 0.115992297210554 0.118959337535533 0.0823249950690758 0.153955306589009 0.169004350762561 0.144788109096157
"come" 0.133220120630087 0.124328298435735 0.106577249808348 0.0747556066705003 0.0852842809364548 0.119177408666282 0.0720728837036453 0.100420219997528 0.162934886074213 0.246235746381818 0.138847440589316 0.205397084996873
"has" 0.0673420389998243 0.130903352679932 0.157061210243881 0.181549330485501 0.17809364548495 0.13200367686355 0.122749130057771 0.0798212005108557 0.141496085274974 0.129378104031125 0.185967612735012 0.0986098417432296
"thought" 0.140539907477894 0.116557779783501 0.140856482202846 0.0920069005175388 0.096989966555184 0.136279099595973 0.16666854356468 0.158097474560211 0.101191139772406 0.169721813890293 0.128166868236292 0.158737794025687
"say" 0.134684077999649 0.121937369619663 0.194456736492424 0.13143842931077 0.133779264214047 0.106351140469014 0.0822081329744704 0.105054999382029 0.0917580674207407 0.137261357681767 0.161779257700221 0.140939920150079
"other" 0.121508461673596 0.115960047579483 0.137740188348801 0.172512938470385 0.155518394648829 0.0764231813420552 0.0912172434374261 0.0973303670745272 0.0960458275805885 0.150245540165177 0.163349930105078 0.161142912116985
"go" 0.131756163260526 0.114764583171448 0.0822701577467949 0.0854349790520003 0.0819397993311037 0.133072532546656 0.0731990225115148 0.0793062250236889 0.152644261690578 0.212384127764356 0.140418112994173 0.175092597046515
"again" 0.117116589564912 0.119546440803591 0.136493670807182 0.145403762425039 0.122909698996656 0.130934821180444 0.100226353900382 0.0684917397931858 0.116627076347857 0.176213905131998 0.106177454568301 0.180864880465631
"man" 0.0702699537389471 0.0908552950107293 0.136493670807182 0.119116076562885 0.0994983277591973 0.0753543256589495 0.093469521053165 0.084455979895357 0.07460702678135 0.188270646009451 0.201988471264548 0.134686613112704
"made" 0.117116589564912 0.0759119899102804 0.124028495391001 0.103507763082231 0.115384615384615 0.0876461660146647 0.112613880786946 0.124109092407201 0.085755203196954 0.130769266440062 0.15895204737148 0.161623935735245
"after" 0.133220120630087 0.136282942516094 0.100344662100257 0.164298036638462 0.168896321070234 0.101006862053486 0.117118436018424 0.0829110534338565 0.141496085274974 0.128914383228146 0.107433992492186 0.109192361344942
"miss" 0.266440241260175 0.0484163085254544 0.375201780027049 0.232481721843424 0.175585284280936 0.165672630881378 0.00337841642360837 0.0782762740493552 0.110624212124071 0.032460456208526 0.0490049790315234 0.0745586608302468
"make" 0.128828248521403 0.109982725539304 0.0947353331629759 0.137188860593116 0.116220735785953 0.0796297483913722 0.0563069403934729 0.0710666172290199 0.0900429633568017 0.151636702574114 0.125653792388522 0.136129683967483
"shall" 0.106868887977982 0.147639854392435 0.136493670807182 0.133081409677154 0.107023411371237 0.128797109814233 0.0788297165508621 0.0669468133316854 0.16808019826603 0.080223698915357 0.103036109758588 0.0976477945067103
"its" 0.103940973238859 0.0956371526428729 0.0760375700387044 0.0862564692351926 0.111204013377926 0.170482481455354 0.154281016678116 0.211654925225559 0.136350773083157 0.0718767244617361 0.070366123737572 0.0745586608302468
"being" 0.0893013995432453 0.0549913627696519 0.223126639949641 0.143760782058654 0.137959866220736 0.0668034801941042 0.105857047939729 0.100420219997528 0.101191139772406 0.0663120748259888 0.125025523426579 0.0870652749049978
"nothing" 0.0951572290214909 0.117155511987519 0.158307727785499 0.145403762425039 0.156354515050167 0.0887150216977704 0.0720728837036453 0.0731265191776871 0.0943307235166494 0.110365551108988 0.0907848650007068 0.100533936216268
"without" 0.117116589564912 0.11117818994734 0.133377376953137 0.140474821325885 0.146321070234114 0.0753543256589495 0.0686944672800369 0.0715815927161867 0.0523106739501419 0.0955264854136621 0.123140716540751 0.12602818798403
"himself" 0.0556303800433331 0.114764583171448 0.0909957805381216 0.103507763082231 0.0953177257525084 0.0358066653840398 0.0495501075462562 0.0561323281011824 0.107194003996192 0.122422291986441 0.18314040240627 0.110635432199721
"may" 0.0819816126954383 0.123132834027699 0.138986705890419 0.158547605356116 0.146321070234114 0.0780264648667137 0.0596853568170813 0.067976764306019 0.0943307235166494 0.101554855852388 0.112460144187727 0.0697484246476502
"first" 0.0644141242607015 0.0866711695826036 0.129014565557474 0.119116076562885 0.133779264214047 0.0972658671626157 0.14527190621516 0.104025048407696 0.0934731714846798 0.102482297458346 0.0801042926476825 0.0913944874693347
"way" 0.0658780816302629 0.0669460068500111 0.0966051094754031 0.0887209397847696 0.0618729096989967 0.0780264648667137 0.0675683284721675 0.0798212005108557 0.0660315064616546 0.157201352209861 0.122198313097837 0.136129683967483
"down" 0.0556303800433331 0.0687392034620649 0.0436281139566337 0.0599687833730387 0.06438127090301 0.130934821180444 0.0867126882059483 0.107629876817863 0.144068741370883 0.147926936150283 0.0829315029764242 0.133724565876185
"though" 0.124436376412719 0.114764583171448 0.110316802433202 0.185656781401462 0.180602006688963 0.0726821864511854 0.106983186747599 0.076216372100688 0.104621347900284 0.0686306788408835 0.0700519892566007 0.0716725191206888
"over" 0.0893013995432453 0.0902575628067113 0.0816468989759858 0.0722911361209234 0.0819397993311037 0.136813527437525 0.140767350983682 0.109174803279364 0.138065877147096 0.0978450894285569 0.0741357375092277 0.0885083457597768
"long" 0.124436376412719 0.10818952892725 0.0897492629965035 0.0936498808839234 0.0852842809364548 0.127728254131127 0.112613880786946 0.120504263997034 0.0823249950690758 0.111756713517925 0.0606279548274616 0.0880273221415172
"every" 0.0731978684780699 0.0567845593817058 0.271117565301938 0.162655056272078 0.315217391304348 0.0550460676799419 0.0574330792013424 0.0448028673835125 0.0686041625575632 0.0681669580379045 0.0524604583222077 0.0567607869546395
"away" 0.0775897405867541 0.127914691659843 0.0860097103716492 0.0961143514335004 0.0936454849498328 0.0785608927082665 0.0608114956249507 0.0643719358958514 0.0728919227174109 0.127523220819209 0.0980099580630468 0.119774880946654
"while" 0.0790536979563155 0.10818952892725 0.0828934165176039 0.0616117637394233 0.0911371237458194 0.0887150216977704 0.0822081329744704 0.0808511514851893 0.0977609316445275 0.108046947094094 0.10115130287276 0.106787243253644
"still" 0.0980851437606137 0.115362315375465 0.071674758643041 0.0591472931898464 0.0836120401337793 0.130934821180444 0.118244574826293 0.118444362048367 0.0848976511649844 0.0853246277481254 0.0829315029764242 0.0788878733945837
"day" 0.0966211863910523 0.0842802407665318 0.0966051094754031 0.106793723815 0.117892976588629 0.113833130250754 0.0945956598610345 0.115869484612532 0.0737494747493804 0.0987725310345147 0.0609420893084329 0.0875462985232575
"us" 0.0907653569128067 0.124328298435735 0.0922422980797397 0.100221802349462 0.0752508361204013 0.0662690523525514 0.0371625806596921 0.076216372100688 0.155216917786487 0.121958571183462 0.0687954513327155 0.0909134638510751
"where" 0.0731978684780699 0.0759119899102804 0.0536002542895785 0.0731126263041157 0.0760869565217391 0.12452168708181 0.0957217986689039 0.0978453425616941 0.103763795868314 0.122422291986441 0.0681671823707729 0.105344172398865
"two" 0.0893013995432453 0.0729233288901906 0.110940061204011 0.110901174730962 0.126254180602007 0.104213429102803 0.122749130057771 0.0865158818440242 0.0917580674207407 0.0839334653391886 0.0650258375610599 0.0711914955024292
"yet" 0.0951572290214909 0.0836825085625138 0.0679352060181867 0.0599687833730387 0.0652173913043478 0.13200367686355 0.139641212175813 0.167367033329214 0.0900429633568017 0.0769776532945044 0.070366123737572 0.0509885035355236
"last" 0.0849095274345611 0.101016742479035 0.0741677937262772 0.097757331799885 0.0852842809364548 0.0924560165886402 0.0923433822452955 0.0880608083055247 0.0900429633568017 0.120103687971546 0.064083434118146 0.095242676415412
"mind" 0.0688059963693857 0.08188931195046 0.0797771226635587 0.0468249404419617 0.0836120401337793 0.0652001966694457 0.0765774389351231 0.054587401639682 0.0643164023977155 0.109901830306009 0.119999371731038 0.141420943768339
"always" 0.0688059963693857 0.0591754881977776 0.148335587452554 0.097757331799885 0.103678929765886 0.0464952222150965 0.0686944672800369 0.0674617888188522 0.0454502576943856 0.0755864908855676 0.116858026921325 0.114002597527539
"look" 0.0585582947824559 0.0914530272147473 0.0741677937262772 0.0468249404419617 0.0568561872909699 0.0817674597575835 0.081081994166601 0.0921806122028591 0.085755203196954 0.134942753666872 0.0753922754331129 0.123142046274472
"our" 0.178602799086491 0.13150108488395 0.0617026183100962 0.0616117637394233 0.0618729096989967 0.0534427841552834 0.101352492708251 0.0741564701520208 0.0960458275805885 0.118712525562609 0.0895283270768216 0.0711914955024292
"herself" 0.0849095274345611 0.054393630565634 0.173889197055726 0.187299761767847 0.213210702341137 0.0299279591269587 0.0506762463541256 0.0551023771268488 0.0608861942698373 0.0616748667961993 0.0801042926476825 0.0668622829380923
"don^t" 0.111260760086666 0.154812640840651 0.00997214033294484 0.00492894109915386 0.020066889632107 0.0828363154406892 0.0495501075462562 0.0587072055370164 0.156074469818456 0.0950627646106832 0.100837168391789 0.150560392515273
"seemed" 0.0746618258476313 0.0573822915857238 0.0878794866840764 0.0542183520906925 0.0760869565217391 0.112229846726095 0.0867126882059483 0.137498455073539 0.0591710902058982 0.0658483540230098 0.108062261454129 0.0774448025398047
